rank,edge_id,automated_review_label,human_ct_label_raw,normalized_human_ct_label,reviewer_notes,label_source
1,E_N003450_N004589,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
2,E_N006559_N007697,auto_supported_possible_unintended_missing,missing,material_absent,no right hand white/yellow blob,user_chat_2026_07_27
3,E_N003466_N003471,auto_supported_possible_unintended_disconnected,missing,material_absent,,user_chat_2026_07_27
4,E_N004584_N004604,auto_supported_possible_unintended_disconnected,broken,material_disconnected,white blobs extend more to about 25 percent each side,user_chat_2026_07_27
5,E_N003452_N003456,auto_supported_possible_unintended_disconnected,broken,material_disconnected,white blobs extend more to about 25 percent each side,user_chat_2026_07_27
6,E_N001012_N001016,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
7,E_N003436_N003452,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
8,E_N003450_N003455,auto_supported_possible_unintended_disconnected,broken,material_disconnected,white blobs extend more to about 25 percent each side,user_chat_2026_07_27
9,E_N005369_N005375,auto_supported_possible_unintended_disconnected,broken,material_disconnected,clearly broken,user_chat_2026_07_27
10,E_N008967_N010105,auto_supported_possible_unintended_disconnected,missing,material_absent,,user_chat_2026_07_27
11,E_N010102_N010107,auto_supported_possible_unintended_disconnected,ambiguous,ambiguous,,user_chat_2026_07_27
12,E_N003466_N004589,auto_supported_possible_unintended_disconnected,broken,material_disconnected,,user_chat_2026_07_27
13,E_N005471_N005482,auto_supported_possible_unintended_disconnected,broken,material_disconnected,,user_chat_2026_07_27
14,E_N003450_N003466,auto_supported_possible_unintended_disconnected,broken,material_disconnected,,user_chat_2026_07_27
15,E_N008995_N008996,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
16,E_N001010_N001035,auto_supported_possible_unintended_missing,ambiguous,ambiguous,,user_chat_2026_07_27
17,E_N001011_N001021,auto_supported_possible_unintended_missing,ambiguous,ambiguous,,user_chat_2026_07_27
18,E_N001012_N002155,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
19,E_N001015_N001021,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
20,E_N001015_N002169,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
21,E_N001024_N001049,auto_supported_possible_unintended_missing,ambiguous,ambiguous,,user_chat_2026_07_27
22,E_N001029_N001035,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
23,E_N001029_N002183,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
24,E_N001043_N001049,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
25,E_N002146_N003289,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
26,E_N002149_N002155,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
27,E_N002149_N003289,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
28,E_N002149_N003303,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
29,E_N002163_N002169,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
30,E_N002163_N002183,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
31,E_N002163_N003303,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
32,E_N002163_N003317,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
33,E_N002177_N002183,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
34,E_N002177_N003317,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
35,E_N003280_N003289,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
36,E_N003280_N004423,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
37,E_N003283_N003289,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
38,E_N003283_N003303,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
39,E_N003283_N004423,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
40,E_N003283_N004437,auto_supported_possible_unintended_missing,missing,material_absent,,user_chat_2026_07_27
