strut_id,edge_id,junction0,junction1,defect_type,classification_status,classification_confidence,classification_reason,measurement_valid,comparison_applicable,has_error,review_required,observed_axial_fraction,longest_unsupported_gap_voxels,connected_support,median_signed_radial_deviation_voxels,p90_absolute_radial_deviation_voxels,expected_radius_median_voxels,registration_uncertainty_voxels,failed_checks
2303,E_N001297_N001300,1300,1297,broken,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.4883720930232558,8.023578987861134,False,-0.3107796468643267,1.123655939806248,3.4681479930877686,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
6151,E_N003463_N003468,3463,3468,broken,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.5116279069767442,21.061894843135498,False,-0.5302621466474209,0.6720376632668821,3.4591333866119385,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
8265,E_N004650_N004659,4650,4659,broken,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.5116279069767442,14.041263228756932,False,-0.4081830915544764,0.7019293218924555,3.4563286304473877,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
18419,E_N010185_N010191,10185,10191,broken,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.4883720930232558,19.056000096170155,False,-0.6355223505632819,0.6498533769814373,3.5325660705566406,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
8173,E_N004601_N004602,4602,4601,broken,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.5348837209302325,20.058947469652782,False,-0.4030280846532963,0.5099184405735355,3.455552339553833,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
2003,E_N001127_N001133,1127,1133,missing,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.3488372093023256,28.082526457513868,False,-0.6250496063872171,1.0474190718743417,3.5810811519622803,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
8170,E_N004597_N004604,4597,4604,missing,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.3488372093023256,28.082526457513957,False,-0.42266995030809174,0.8833978020838528,3.4958322048187256,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
10057,E_N005658_N005667,5658,5667,missing,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.3488372093023256,28.082526457513858,False,-0.44601394416982654,0.5262824140983378,3.451920986175537,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
12083,E_N006797_N006803,6797,6803,missing,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.3488372093023256,28.082526457514,False,0.2353563135211605,0.8322624059916717,3.5473766326904297,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
2001,E_N001123_N001133,1123,1133,missing,confirmed,medium,low_axial_support_and_large_gap,True,True,True,True,0.32558139534883723,24.070736963583435,False,-0.44663332744955087,0.5814670401352812,3.583360433578491,0.6296126413117267,"[""axial_coverage"", ""unsupported_gap"", ""continuous_support"", ""centerline_displacement""]"
8764,E_N004937_N004939,4939,4937,thin,confirmed,medium,radial_deviation_exceeds_effective_tolerance,True,True,True,True,0.9767441860465116,1.002947373482639,True,-1.773676685938181,1.773676685938181,3.5396616458892822,0.6296126413117267,"[""radial_deviation"", ""centerline_displacement""]"
2289,E_N001291_N001298,1291,1298,thin,confirmed,medium,radial_deviation_exceeds_effective_tolerance,True,True,True,True,1.0,0.0,True,-0.5950681164439742,1.431545499481263,3.5153286457061768,0.6296126413117267,"[""radial_deviation"", ""centerline_displacement""]"
8442,E_N004756_N004759,4756,4759,thin,confirmed,medium,radial_deviation_exceeds_effective_tolerance,True,True,True,True,1.0,0.0,True,-1.0030916897668658,1.432847379162215,3.498502016067505,0.6296126413117267,"[""radial_deviation"", ""centerline_displacement""]"
12281,E_N006913_N006915,6913,6915,thin,confirmed,medium,radial_deviation_exceeds_effective_tolerance,True,True,True,True,1.0,0.0,True,-0.7598362961684959,1.4992753531286127,3.4695425033569336,0.6296126413117267,"[""radial_deviation"", ""centerline_displacement""]"
13345,E_N007521_N007528,7521,7528,thin,confirmed,medium,radial_deviation_exceeds_effective_tolerance,True,True,True,True,1.0,0.0,True,-0.9142421374869396,1.4576053968889893,3.5126264095306396,0.6296126413117267,"[""radial_deviation"", ""centerline_displacement""]"
18454,E_N010196_N010205,10196,10205,uncertain,review,low,insufficient_measurement_evidence,False,True,,True,0.5116279069767442,21.061894843135413,False,,,3.576359510421753,0.6296126413117267,[]
18387,E_N010171_N010177,10171,10177,uncertain,review,low,insufficient_measurement_evidence,False,True,,True,0.5348837209302325,19.056000096170155,False,,,3.5654149055480957,0.6296126413117267,[]
1857,E_N001053_N001063,1053,1063,uncertain,review,low,insufficient_measurement_evidence,False,True,,True,0.3023255813953488,30.088421204479253,False,,,3.5385169982910156,0.6296126413117267,[]
1913,E_N001081_N001091,1081,1091,uncertain,review,low,insufficient_measurement_evidence,False,True,,True,0.27906976744186046,31.091368577961838,False,,,3.558958053588867,0.6296126413117267,[]
1801,E_N001025_N001035,1025,1035,uncertain,review,low,insufficient_measurement_evidence,False,True,,True,0.23255813953488372,33.0972633249271,False,,,3.5182440280914307,0.6296126413117267,[]
2640,E_N001493_N001495,1495,1493,bent_or_misaligned,review,low,centerline_offset_cannot_separate_bend_from_registration,True,True,,True,0.9767441860465116,1.002947373482642,True,-0.2706001542967298,0.47178315433132145,3.568740129470825,0.6296126413117267,"[""centerline_displacement""]"
4661,E_N002626_N002630,2630,2626,bent_or_misaligned,review,low,centerline_offset_cannot_separate_bend_from_registration,True,True,,True,0.9767441860465116,1.0029473734826408,True,-0.7831543914722823,1.0757761527847738,3.5200767517089844,0.6296126413117267,"[""centerline_displacement""]"
4997,E_N002823_N002824,2824,2823,bent_or_misaligned,review,low,centerline_offset_cannot_separate_bend_from_registration,True,True,,True,0.9767441860465116,1.0029473734826397,True,-0.45844658289173434,0.5924017209226529,3.587263822555542,0.6296126413117267,"[""centerline_displacement""]"
6127,E_N003449_N003454,3449,3454,bent_or_misaligned,review,low,centerline_offset_cannot_separate_bend_from_registration,True,True,,True,0.9767441860465116,1.0029473734826426,True,-0.5631275451823958,0.7585611958124272,3.444997787475586,0.6296126413117267,"[""centerline_displacement""]"
8034,E_N004524_N004531,4524,4531,bent_or_misaligned,review,low,centerline_offset_cannot_separate_bend_from_registration,True,True,,True,0.9767441860465116,1.0029473734826437,True,-0.4264630493241022,0.6723002515013201,3.4894371032714844,0.6296126413117267,"[""centerline_displacement""]"
