edge_id,source_strut_id,node_u,node_v,phase2b4_automated_review_label,phase2b4_automated_review_status,phase2c_triage_bucket,phase2c_label,phase2c_status,phase2c_confidence_tier,phase2c_reason,phase2c_changed_from_phase2b4,phase2b3_missing_evidence_count,ct_anomaly_rank,ct_missing_material_anomaly_score,occupied_axial_fraction,longest_low_area_gap_fraction,area_mean_voxels2,core_minus_background_contrast,negative_template_residual,bridge_connected_26,threshold_stability_occupied_fraction_range,local_registration_stability_voxels,orientation_key,boundary_bin,spatial_region
E_N003450_N004589,8164,N003450,N004589,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,22,5.85,0.0,1.0,0.0,-1.853582554517134,4.0,False,0.0,0.746535745630109,ori011,boundary,r101
E_N006559_N007697,13665,N006559,N007697,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,36,5.6499999999999995,0.0,1.0,0.0,-1.2220367278797997,3.8,False,0.0,0.9620420765243515,ori011,near_boundary,r022
E_N003466_N003471,6166,N003466,N003471,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,37,5.6,0.125,0.875,1.875,-1.4650602409638553,4.0,False,0.0,0.43119795608877887,ori011,boundary,r101
E_N004584_N004604,8170,N004584,N004604,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,38,5.6,0.125,0.875,1.625,-1.0303687635574836,4.0,False,0.0,1.362705860333376,ori101,boundary,r101
E_N003452_N003456,6141,N003452,N003456,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,43,5.360416666666667,0.25,0.75,3.7916666666666665,-1.324009324009324,4.0,False,0.04166666666666666,1.3124555873144264,ori011,boundary,r101
E_N001012_N001016,3779,N001012,N001016,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,44,5.35,0.0,1.0,0.0,-1.5656292286874154,3.5,False,0.0,0.944028226140081,ori110,boundary,r020
E_N003436_N003452,8136,N003436,N003452,auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,high,phase2b4_possible_missing_preserved,false,7,50,5.3277777777777775,0.0,1.0,0.0,-2.9194729136163984,3.477777777777778,False,0.0,0.8461977778872906,ori110,boundary,r101
E_N003450_N003455,6151,N003450,N003455,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,52,5.266666666666667,0.2916666666666667,0.7083333333333334,4.75,-1.1143617021276595,4.0,False,0.0,0.746535745630109,ori011,boundary,r101
E_N001012_N002152,3781,N001012,N002152,manual_review_possible_unintended_missing,blocked_manual_review,possible_missing_boundary,phase2c_auto_supported_possible_unintended_missing,auto_supported_spotcheck_recommended,moderate_with_boundary_or_stability_caution,second_pass_zero_material_body_despite_bounded_instability,true,7,53,5.25,0.0,1.0,0.0,-0.8333333333333334,3.4,False,0.0,2.5,ori011,boundary,r020
E_N005369_N005375,9735,N005369,N005375,auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,possible_disconnected_instability_or_evidence_shortfall,phase2c_auto_supported_possible_unintended_disconnected,auto_supported_spotcheck_recommended,high,phase2b4_possible_disconnected_preserved,false,5,56,5.220833333333332,0.375,0.625,2.8333333333333335,-0.14068441064638784,4.1,False,0.08333333333333337,0.7271783309717661,ori101,interior,r121
